pincode,city,state,latitude,longitude
110001,New Delhi,Delhi,28.6353,77.2250
110002,New Delhi,Delhi,28.6508,77.2310
110003,New Delhi,Delhi,28.6456,77.2100
110005,New Delhi,Delhi,28.6333,77.2167
110006,New Delhi,Delhi,28.6600,77.1900
110007,New Delhi,Delhi,28.6700,77.2100
110008,New Delhi,Delhi,28.6900,77.2100
110009,New Delhi,Delhi,28.6750,77.2300
110010,New Delhi,Delhi,28.6100,77.2350
110011,New Delhi,Delhi,28.6600,77.2100
110016,New Delhi,Delhi,28.5700,77.1900
110017,New Delhi,Delhi,28.5300,77.2100
110019,New Delhi,Delhi,28.5600,77.2200
110020,New Delhi,Delhi,28.5400,77.2200
110025,New Delhi,Delhi,28.5700,77.2500
110030,New Delhi,Delhi,28.5100,77.2800
110044,New Delhi,Delhi,28.5500,77.2700
110048,New Delhi,Delhi,28.5200,77.2300
110049,New Delhi,Delhi,28.5900,77.2100
110051,New Delhi,Delhi,28.6800,77.2700
110052,New Delhi,Delhi,28.6900,77.1500
110060,New Delhi,Delhi,28.6200,77.0800
110062,New Delhi,Delhi,28.5300,77.1700
110065,New Delhi,Delhi,28.5100,77.2100
110070,New Delhi,Delhi,28.5100,77.0600
110075,New Delhi,Delhi,28.6000,77.3200
110085,New Delhi,Delhi,28.7100,77.2900
110091,New Delhi,Delhi,28.6800,77.3100
110092,New Delhi,Delhi,28.6500,77.2900
110093,New Delhi,Delhi,28.7000,77.2700
110094,New Delhi,Delhi,28.6900,77.3200
110095,New Delhi,Delhi,28.7100,77.3100
110096,New Delhi,Delhi,28.7200,77.3000
120001,Hisar,Haryana,29.1500,75.7200
121001,Faridabad,Haryana,28.4089,77.3178
121002,Faridabad,Haryana,28.4200,77.3100
122001,Gurgaon,Haryana,28.4595,77.0266
122002,Gurgaon,Haryana,28.4700,77.0400
122003,Gurgaon,Haryana,28.4500,77.0500
122018,Gurgaon,Haryana,28.4300,77.0300
125001,Hisar,Haryana,29.1500,75.7200
125005,Hisar,Haryana,29.1600,75.7100
126102,Jind,Haryana,29.3159,76.3143
127021,Bhiwani,Haryana,28.7930,76.1322
130001,Ambala,Haryana,30.3752,76.7821
131001,Sonipat,Haryana,28.9931,77.0151
132001,Karnal,Haryana,29.6857,76.9905
134109,Panchkula,Haryana,30.6942,76.8606
140001,Ludhiana,Punjab,30.9010,75.8573
141001,Ludhiana,Punjab,30.9010,75.8573
143001,Amritsar,Punjab,31.6340,74.8723
144001,Jalandhar,Punjab,31.3260,75.5762
144411,Nawanshahr,Punjab,31.1240,76.1160
147001,Patiala,Punjab,30.3398,76.3869
148001,Sangrur,Punjab,30.2328,75.8266
150001,Bathinda,Punjab,30.2070,74.9519
151001,Bathinda,Punjab,30.2100,74.9500
152001,Firozpur,Punjab,30.9337,74.6134
160001,Chandigarh,Chandigarh,30.7333,76.7794
160017,Chandigarh,Chandigarh,30.7200,76.7600
160036,Chandigarh,Chandigarh,30.7100,76.7500
180001,Jammu,Jammu and Kashmir,32.7266,74.8570
190001,Srinagar,Jammu and Kashmir,34.0837,74.7973
201001,Ghaziabad,Uttar Pradesh,28.6692,77.4538
201002,Ghaziabad,Uttar Pradesh,28.6700,77.4400
201003,Ghaziabad,Uttar Pradesh,28.6600,77.4500
201010,Ghaziabad,Uttar Pradesh,28.6300,77.4200
201301,Noida,Uttar Pradesh,28.5355,77.3910
201303,Noida,Uttar Pradesh,28.5700,77.3600
201304,Greater Noida,Uttar Pradesh,28.4744,77.5040
201305,Noida,Uttar Pradesh,28.5200,77.3700
202001,Aligarh,Uttar Pradesh,27.8974,78.0880
208001,Kanpur,Uttar Pradesh,26.4499,80.3319
208002,Kanpur,Uttar Pradesh,26.4600,80.3400
208004,Kanpur,Uttar Pradesh,26.4400,80.3200
208005,Kanpur,Uttar Pradesh,26.4500,80.3100
211001,Prayagraj,Uttar Pradesh,25.4358,81.8463
211002,Prayagraj,Uttar Pradesh,25.4400,81.8500
221001,Varanasi,Uttar Pradesh,25.3176,82.9739
221002,Varanasi,Uttar Pradesh,25.3300,82.9800
221005,Varanasi,Uttar Pradesh,25.3100,82.9600
222001,Jaunpur,Uttar Pradesh,25.7464,82.6837
224001,Ayodhya,Uttar Pradesh,26.7922,82.1998
226001,Lucknow,Uttar Pradesh,26.8467,80.9462
226002,Lucknow,Uttar Pradesh,26.8600,80.9500
226003,Lucknow,Uttar Pradesh,26.8500,80.9300
226004,Lucknow,Uttar Pradesh,26.8400,80.9600
226010,Lucknow,Uttar Pradesh,26.8700,80.9200
226016,Lucknow,Uttar Pradesh,26.8300,80.9100
226017,Lucknow,Uttar Pradesh,26.8200,80.9000
226018,Lucknow,Uttar Pradesh,26.8100,80.9300
226020,Lucknow,Uttar Pradesh,26.8000,80.9400
226021,Lucknow,Uttar Pradesh,26.7900,80.9500
226022,Lucknow,Uttar Pradesh,26.7800,80.9600
226024,Lucknow,Uttar Pradesh,26.7700,80.9700
226025,Lucknow,Uttar Pradesh,26.7600,80.9800
228001,Sultanpur,Uttar Pradesh,26.2648,82.0727
229001,Raebareli,Uttar Pradesh,26.2299,81.2326
230001,Pratapgarh,Uttar Pradesh,25.8974,81.9413
231001,Mirzapur,Uttar Pradesh,25.1337,82.5644
232101,Ghazipur,Uttar Pradesh,25.5878,83.5779
233001,Ghazipur,Uttar Pradesh,25.5900,83.5800
236001,Ballia,Uttar Pradesh,25.7613,84.1484
241001,Hardoi,Uttar Pradesh,27.3989,80.1237
242001,Shahjahanpur,Uttar Pradesh,27.8836,79.9108
243001,Bareilly,Uttar Pradesh,28.3670,79.4304
243122,Bareilly,Uttar Pradesh,28.3800,79.4400
244001,Moradabad,Uttar Pradesh,28.8389,78.7768
244901,Rampur,Uttar Pradesh,28.8087,79.0250
245101,Hapur,Uttar Pradesh,28.7307,77.7759
246001,Pauri Garhwal,Uttarakhand,30.1500,78.7800
247001,Saharanpur,Uttar Pradesh,29.9680,77.5460
248001,Dehradun,Uttarakhand,30.3165,78.0322
248002,Dehradun,Uttarakhand,30.3200,78.0400
248003,Dehradun,Uttarakhand,30.3100,78.0300
249001,Haridwar,Uttarakhand,29.9457,78.1642
249201,Rishikesh,Uttarakhand,30.0869,78.2676
249401,Haridwar,Uttarakhand,29.9500,78.1700
250001,Meerut,Uttar Pradesh,28.9845,77.7064
250002,Meerut,Uttar Pradesh,28.9900,77.7100
250004,Meerut,Uttar Pradesh,28.9800,77.7000
250110,Baghpat,Uttar Pradesh,28.9449,77.2198
251001,Muzaffarnagar,Uttar Pradesh,29.4727,77.7085
261001,Sitapur,Uttar Pradesh,27.5725,80.6814
271001,Gonda,Uttar Pradesh,27.1323,81.9618
272001,Basti,Uttar Pradesh,26.7976,82.7334
273001,Gorakhpur,Uttar Pradesh,26.7606,83.3732
273002,Gorakhpur,Uttar Pradesh,26.7700,83.3800
274001,Deoria,Uttar Pradesh,26.5024,83.7791
275101,Mau,Uttar Pradesh,25.9410,83.5610
276001,Azamgarh,Uttar Pradesh,26.0683,83.1853
277001,Ballia,Uttar Pradesh,25.7613,84.1484
281001,Mathura,Uttar Pradesh,27.4924,77.6737
282001,Agra,Uttar Pradesh,27.1767,78.0081
282002,Agra,Uttar Pradesh,27.1800,78.0100
282003,Agra,Uttar Pradesh,27.1700,78.0000
282004,Agra,Uttar Pradesh,27.1600,77.9900
282005,Agra,Uttar Pradesh,27.1500,77.9800
282007,Agra,Uttar Pradesh,27.1400,77.9700
284001,Jhansi,Uttar Pradesh,25.4484,78.5685
284002,Jhansi,Uttar Pradesh,25.4500,78.5700
284003,Jhansi,Uttar Pradesh,25.4400,78.5600
285001,Orai,Uttar Pradesh,25.9920,79.4517
286001,Sultanpur,Uttar Pradesh,26.2600,82.0700
302001,Jaipur,Rajasthan,26.9124,75.7873
302002,Jaipur,Rajasthan,26.9200,75.7900
302003,Jaipur,Rajasthan,26.9000,75.7800
302004,Jaipur,Rajasthan,26.8900,75.7700
302005,Jaipur,Rajasthan,26.8800,75.7600
302006,Jaipur,Rajasthan,26.8700,75.8000
302012,Jaipur,Rajasthan,26.8500,75.7600
302015,Jaipur,Rajasthan,26.8300,75.7900
302016,Jaipur,Rajasthan,26.8600,75.8100
302017,Jaipur,Rajasthan,26.9300,75.7200
302018,Jaipur,Rajasthan,26.9100,75.7300
302019,Jaipur,Rajasthan,26.9400,75.7100
302020,Jaipur,Rajasthan,26.8400,75.8200
302021,Jaipur,Rajasthan,26.8200,75.7400
302022,Jaipur,Rajasthan,26.8100,75.7500
305001,Ajmer,Rajasthan,26.4499,74.6399
305901,Beawar,Rajasthan,26.1012,74.3189
306001,Pali,Rajasthan,25.7711,73.3234
311001,Bhilwara,Rajasthan,25.3407,74.6313
312001,Chittorgarh,Rajasthan,24.8887,74.6269
313001,Udaipur,Rajasthan,24.5854,73.7125
313002,Udaipur,Rajasthan,24.5900,73.7200
313004,Udaipur,Rajasthan,24.5800,73.7000
314001,Dungarpur,Rajasthan,23.8407,73.7224
321001,Bharatpur,Rajasthan,27.2152,77.5030
322001,Sawai Madhopur,Rajasthan,26.0228,76.3604
324001,Kota,Rajasthan,25.2138,75.8648
324002,Kota,Rajasthan,25.2200,75.8700
324005,Kota,Rajasthan,25.2100,75.8600
324007,Kota,Rajasthan,25.2000,75.8500
325001,Bundi,Rajasthan,25.4305,75.6499
326001,Jhalawar,Rajasthan,24.5965,76.1660
327001,Banswara,Rajasthan,23.5452,74.4435
328001,Dholpur,Rajasthan,26.7021,77.8972
329001,Udaipur,Rajasthan,24.5800,73.7100
331001,Churu,Rajasthan,28.2919,74.9660
332001,Sikar,Rajasthan,27.6094,75.1399
334001,Bikaner,Rajasthan,28.0229,73.3119
334401,Bikaner,Rajasthan,28.0300,73.3200
335001,Sri Ganganagar,Rajasthan,29.9094,73.8798
335002,Sri Ganganagar,Rajasthan,29.9100,73.8700
335512,Hanumangarh,Rajasthan,29.5812,74.3291
341001,Nagaur,Rajasthan,27.2024,73.1789
